filename,width,height,class,xmin,ymin,xmax,ymax
image1742.jpg,539,340,tree,29,14,191,218
image1742.jpg,539,340,forest,7,17,533,286
image493.jpeg,275,183,flower,13,74,274,159
image1024.jpeg,275,183,field,2,142,275,182
image1024.jpeg,275,183,person,153,91,177,144
image1024.jpeg,275,183,person,192,113,216,143
image1024.jpeg,275,183,sky,1,1,275,140
image1030.jpeg,270,187,sky,1,1,268,187
image487.jpg,603,340,beach,1,1,601,335
image487.jpg,603,340,person,104,168,305,281
image487.jpg,603,340,person,259,107,414,279
image1756.jpg,509,340,sky,2,3,509,183
image1756.jpg,509,340,beach,8,185,509,338
image1756.jpg,509,340,person,414,146,444,246
image1018.jpeg,194,259,sky,1,1,193,198
image450.jpg,535,340,sea,7,235,535,339
image450.jpg,535,340,stone,1,93,506,250
image450.jpg,535,340,sky,167,2,535,93
image450.jpg,535,340,tree,92,4,148,58
image450.jpg,535,340,tree,403,100,459,154
image450.jpg,535,340,tree,436,123,492,177
image1781.jpg,453,340,sky,9,4,451,84
image1781.jpg,453,340,field,244,117,453,337
image1781.jpg,453,340,tree,3,90,450,131
image336.jpg,640,340,person,271,64,374,294
image336.jpg,640,340,stone,188,274,515,337
image336.jpg,640,340,sky,1,1,635,189
image336.jpg,640,340,sea,11,211,639,306
image322.jpg,511,340,field,7,235,511,337
image1795.jpg,510,340,mountain,7,4,494,323
image1795.jpg,510,340,stone,48,88,173,175
image1795.jpg,510,340,stone,290,112,509,340
image444.jpg,511,340,sea,2,1,507,337
image478.jpg,510,340,sky,1,1,510,67
image478.jpg,510,340,field,14,161,509,337
image478.jpg,510,340,mountain,20,57,510,161
image1540.jpg,515,340,sky,7,6,515,182
image1540.jpg,515,340,lake,9,182,515,334
image1554.jpg,510,340,sky,1,1,505,196
image1554.jpg,510,340,mountain,13,181,510,246
image1554.jpg,510,340,field,19,247,510,338
image1232.jpeg,275,183,sky,2,2,273,67
image1232.jpeg,275,183,lake,4,92,249,151
image1232.jpeg,275,183,mountain,7,64,271,94
image1568.jpg,537,340,sky,9,1,532,172
image1568.jpg,537,340,field,11,180,527,332
image1583.jpg,510,340,beach,6,3,499,339
image652.jpeg,259,194,sky,1,3,256,194
image646.jpeg,275,183,sky,3,20,275,182
image1597.jpg,509,340,sea,3,60,509,335
image1597.jpg,509,340,sky,3,4,509,56
image1434.jpeg,274,184,forest,12,45,271,149
image1434.jpeg,274,184,lake,5,144,274,182
image1434.jpeg,274,184,tree,152,41,225,130
image1420.jpeg,259,194,sky,2,3,244,59
image1420.jpeg,259,194,mountain,5,41,257,134
image1420.jpeg,259,194,field,6,138,252,194
image1346.jpeg,275,183,flower,11,107,275,182
image1346.jpeg,275,183,sky,3,1,267,93
image1408.jpeg,300,168,mountain,9,15,300,123
image1408.jpeg,300,168,field,7,113,290,168
image1391.jpeg,284,177,sky,5,3,275,103
image1391.jpeg,284,177,field,99,106,281,173
image1385.jpeg,299,168,lake,1,66,297,166
image1385.jpeg,299,168,mountain,7,19,259,66
image1385.jpeg,299,168,sky,2,1,299,25
image1636.jpg,510,340,sky,6,2,510,239
image1636.jpg,510,340,mountain,15,236,506,329
image281.jpg,524,340,field,2,155,524,339
image281.jpg,524,340,sky,1,3,524,137
image1150.jpeg,275,183,sky,5,2,274,123
image1150.jpeg,275,183,tree,6,57,43,136
image1150.jpeg,275,183,beach,12,125,275,181
image1144.jpeg,275,183,sky,2,2,273,107
image1144.jpeg,275,183,flower,2,108,275,182
image1144.jpeg,275,183,tree,198,81,235,112
image1144.jpeg,275,183,tree,249,95,274,111
image295.jpg,508,340,forest,2,4,501,340
image295.jpg,508,340,tree,30,7,240,130
image295.jpg,508,340,tree,13,138,223,261
image295.jpg,508,340,tree,242,5,452,128
image1622.jpg,454,340,sky,5,5,451,113
image1622.jpg,454,340,mountain,26,77,431,340
image1178.jpeg,275,183,forest,2,2,271,181
image1178.jpeg,275,183,tree,4,1,62,131
image1178.jpeg,275,183,tree,171,1,272,145
image1178.jpeg,275,183,person,168,123,191,164
image524.jpeg,270,187,sky,1,1,269,183
image1193.jpeg,326,155,lake,7,86,297,155
image1193.jpeg,326,155,mountain,1,1,323,90
image1193.jpeg,326,155,forest,1,1,323,86
image242.jpg,510,340,sky,4,2,504,135
image242.jpg,510,340,mountain,210,104,508,340
image256.jpg,510,340,field,17,137,479,340
image256.jpg,510,340,sky,11,4,510,125
image1187.jpeg,276,183,sky,124,4,274,124
image1187.jpeg,276,183,field,1,132,274,181
image1187.jpeg,276,183,tree,110,78,162,153
image1187.jpeg,276,183,tree,54,18,138,158
image1187.jpeg,276,183,tree,1,1,83,141
image1187.jpeg,276,183,tree,230,120,276,159
image530.jpeg,275,183,sky,3,1,271,183
image518.jpeg,275,183,sky,2,2,275,179
image519.jpeg,268,188,sky,2,2,268,186
image1186.jpeg,275,183,tree,130,80,143,107
image1186.jpeg,275,183,ground,3,102,275,182
image1186.jpeg,275,183,sky,2,1,275,101
image257.jpg,604,340,desert,10,18,604,336
image531.jpeg,260,194,sky,2,2,260,161
image531.jpeg,260,194,house,62,140,157,194
image525.jpeg,275,183,sky,7,23,256,170
image243.jpg,509,340,sky,1,1,502,152
image243.jpg,509,340,tree,335,138,385,206
image243.jpg,509,340,tree,198,150,248,218
image243.jpg,509,340,tree,1,145,50,213
image243.jpg,509,340,tree,59,174,109,232
image243.jpg,509,340,tree,143,168,193,226
image243.jpg,509,340,field,11,203,507,340
image1192.jpeg,318,159,sky,1,1,316,105
image1179.jpeg,275,183,sky,2,1,269,124
image1179.jpeg,275,183,forest,16,138,189,182
image294.jpg,544,340,field,6,179,543,339
image294.jpg,544,340,sky,3,1,544,154
image294.jpg,544,340,tree,18,143,75,209
image294.jpg,544,340,tree,319,128,451,199
image1145.jpeg,259,194,sky,1,1,258,72
